27.0000000	-0.4589880
26.9548440	-0.4613730
26.9096880	-0.4637370
26.8645320	-0.4660830
26.8193730	-0.4684140
26.7742140	-0.4707240
26.7290550	-0.4730190
26.6838930	-0.4752930
26.6387310	-0.4775490
26.5935690	-0.4797840
26.5484040	-0.4820040
26.5032420	-0.4842030
26.4580740	-0.4863840
26.4129090	-0.4885440
26.3677410	-0.4906860
26.3225730	-0.4928100
26.2774050	-0.4949130
26.2322340	-0.4969980
26.1870630	-0.4990620
26.1418920	-0.5011080
26.0967180	-0.5031330
26.0515440	-0.5051370
26.0063700	-0.5071230
25.9611960	-0.5090880
25.9160190	-0.5110320
25.8708420	-0.5129550
25.8256650	-0.5148600
25.7804850	-0.5167440
25.7353050	-0.5186040
25.6901250	-0.5204460
25.6449420	-0.5222670
25.5997620	-0.5240670
25.5545790	-0.5258460
25.5093930	-0.5276040
25.4642100	-0.5293380
25.4190240	-0.5310540
25.3738380	-0.5327490
25.3286490	-0.5344230
25.2834630	-0.5360760
25.2382740	-0.5377080
25.1930850	-0.5393220
25.1478930	-0.5409180
25.1027040	-0.5424960
25.0575120	-0.5440530
25.0123200	-0.5455920
24.9671280	-0.5471130
24.9219360	-0.5486160
24.8767410	-0.5501040
24.8315460	-0.5515740
24.7863510	-0.5530260
24.7411560	-0.5544630
24.6959610	-0.5558850
24.6507660	-0.5572920
24.6055680	-0.5586810
24.5603700	-0.5600550
24.5151720	-0.5614170
24.4699740	-0.5627610
24.4247760	-0.5640960
24.3795780	-0.5654130
24.3343800	-0.5667180
24.2891790	-0.5680110
24.2439780	-0.5692890
24.1987800	-0.5705550
24.1535790	-0.5718120
24.1083780	-0.5730540
24.0631770	-0.5742870
24.0179730	-0.5755050
23.9727720	-0.5767170
23.9275710	-0.5779140
23.8823670	-0.5791020
23.8371660	-0.5802810
23.7919620	-0.5814480
23.7467580	-0.5826060
23.7015540	-0.5837520
23.6563500	-0.5848890
23.6111460	-0.5860170
23.5659420	-0.5871330
23.5207380	-0.5882370
23.4755340	-0.5893350
23.4303270	-0.5904210
23.3851230	-0.5914980
23.3399160	-0.5925630
23.2947120	-0.5936190
23.2495050	-0.5946660
23.2042980	-0.5957040
23.1590940	-0.5967330
23.1138870	-0.5977500
23.0686800	-0.5987580
23.0234730	-0.5997570
22.9782660	-0.6007470
22.9330590	-0.6017280
22.8878490	-0.6027000
